<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MFON,D,20121128,000000,650.1000000,650.1000000,620.1000000,630.0000000,6290
MFON,D,20121129,000000,630.0000000,639.0000000,609.7000000,630.0000000,9390
MFON,D,20121130,000000,643.0000000,750.0000000,633.0000000,655.0000000,114040
MFON,D,20121203,000000,700.0000000,730.0000000,645.0000000,660.0000000,8890
MFON,D,20121204,000000,669.8000000,689.6000000,655.0000000,655.5000000,18610
MFON,D,20121205,000000,664.9000000,684.9000000,655.7000000,672.0000000,19740
MFON,D,20121206,000000,670.0000000,685.2000000,666.7000000,681.0000000,19290
MFON,D,20121207,000000,700.9000000,730.0000000,677.3000000,679.1000000,30610
MFON,D,20121210,000000,680.0000000,689.0000000,676.0000000,679.7000000,4730
MFON,D,20121211,000000,679.7000000,698.9000000,675.0000000,695.0000000,21120
MFON,D,20121212,000000,703.0000000,719.0000000,681.0000000,692.3000000,8070
MFON,D,20121213,000000,692.3000000,692.4000000,680.0000000,688.6000000,9040
MFON,D,20121214,000000,688.1000000,729.0000000,665.3000000,723.2000000,19410
MFON,D,20121217,000000,725.9000000,782.9000000,725.9000000,742.4000000,14570
MFON,D,20121218,000000,744.9000000,890.0000000,738.0000000,738.0000000,36690
MFON,D,20121219,000000,745.0000000,760.0000000,742.2000000,750.0000000,10280
MFON,D,20121220,000000,743.6000000,756.0000000,737.3000000,740.0000000,9820
MFON,D,20121221,000000,739.9000000,739.9000000,702.0000000,721.5000000,17030
MFON,D,20121224,000000,722.9000000,731.8000000,711.2000000,724.7000000,7070
MFON,D,20121225,000000,728.9000000,728.9000000,715.2000000,723.8000000,1040
MFON,D,20121226,000000,719.0000000,731.8000000,715.5000000,727.0000000,3130
MFON,D,20121227,000000,724.1000000,732.0000000,715.5000000,725.3000000,8050
MFON,D,20121228,000000,731.7000000,731.9000000,722.1000000,723.0000000,2180
MFON,D,20130108,000000,741.9000000,755.0000000,727.3000000,748.0000000,10080
MFON,D,20130109,000000,753.5000000,758.0000000,750.3000000,756.8000000,3320
MFON,D,20130110,000000,758.0000000,766.8000000,747.9000000,760.0000000,17960
MFON,D,20130111,000000,767.9000000,770.1000000,750.1000000,754.9000000,15020
MFON,D,20130114,000000,750.1000000,760.0000000,750.0000000,755.1000000,9160
MFON,D,20130115,000000,752.5000000,763.0000000,752.5000000,755.2000000,3750
MFON,D,20130116,000000,758.4000000,776.0000000,757.3000000,768.3000000,9250
MFON,D,20130117,000000,772.9000000,819.9000000,772.0000000,803.0000000,18630
MFON,D,20130118,000000,802.0000000,807.0000000,781.0000000,790.0000000,45430
MFON,D,20130121,000000,791.9000000,799.8000000,787.0000000,798.0000000,4960
